 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
1.330142,-0.023438,0,0,0,-0.2777403,0,0,0
1.339841,-0.023438,0,0,0,-0.2777403,0,0,0
1.350276,-0.023438,0,0,0,-0.2777403,0,0,0
1.360129,-0.023438,0,0,0,-0.2777403,0,0,0
1.369888,-0.0625,-3.90625,0,0,-0.740625,-46.2890625,0,0
1.379797,-0.0625,0,0,0,-0.740625,0,0,0
1.389806,-0.0625,0,0,0,-0.740625,0,0,0
1.399806,-0.0625,0,-28.624097,-2862.409691,-0.740625,0,-85.872291,-8587.229073
1.410606,-0.0625,0,-34.146086,-552.198915,-0.740625,0,-102.438258,-1656.596745
1.419787,-0.0625,0,-44.205343,-1005.92566,-0.740625,0,-132.616029,-3017.77698
1.430106,-0.0625,0,-54.543174,-1033.783099,-0.740625,0,-163.629522,-3101.349297
1.439846,-0.0625,0,-58.920575,-437.740142,-0.740625,0,-176.761725,-1313.220426
1.449776,-0.0625,0,-60.873906,-195.333073,-0.740625,0,-182.621718,-585.999219
1.459784,-0.0625,0,-62.924148,-205.024229,-0.740625,0,-188.772444,-615.072687
1.470082,-0.0625,0,-66.567703,-364.35546,-0.740625,0,-199.703109,-1093.06638
1.479772,-0.085938,-2.34375,-65.166958,140.074494,-1.0183653,-27.7734375,-195.500874,420.223482
1.491196,-0.085938,0,-68.818862,-365.190413,-1.0183653,0,-206.456586,-1095.571239
1.499846,-0.085938,0,-79.302141,-1048.327928,-1.0183653,0,-237.906423,-3144.983784
1.510134,-0.085938,0,-91.804603,-1250.246192,-1.0183653,0,-275.413809,-3750.738576
1.519799,-0.085938,0,-95.542466,-373.786315,-1.0183653,0,-286.627398,-1121.358945
1.529999,-0.085938,0,-100.070049,-452.75828,-1.0183653,0,-300.210147,-1358.27484
1.539808,-0.085938,0,-104.371605,-430.155563,-1.0183653,0,-313.114815,-1290.466689
1.550534,-0.085938,0,-108.269635,-389.803004,-1.0183653,0,-324.808905,-1169.409012
1.559779,-0.085938,0,-113.061421,-479.178592,-1.0183653,0,-339.184263,-1437.535776
1.570326,-0.085938,0,-113.491919,-43.049876,-1.0183653,0,-340.475757,-129.149628
1.579812,-0.085938,0,-117.983659,-449.173989,-1.0183653,0,-353.950977,-1347.521967
1.590025,-0.085938,0,-116.658889,132.476986,-1.0183653,0,-349.976667,397.430958
1.599781,-0.101563,-1.5625,-123.401183,-674.229401,-1.20352155,-18.515625,-370.203549,-2022.688203
1.610328,-0.101563,0,-124.96095,-155.976629,-1.20352155,0,-374.88285,-467.929887
1.619814,-0.101563,0,-131.943528,-698.257847,-1.20352155,0,-395.830584,-2094.773541
1.630619,-0.101563,0,-134.285868,-234.233959,-1.20352155,0,-402.857604,-702.701877
1.639805,-0.101563,0,-138.675098,-438.923036,-1.20352155,0,-416.025294,-1316.769108
1.649818,-0.101563,0,-145.743913,-706.881526,-1.20352155,0,-437.231739,-2120.644578
1.65977,-0.125,-2.34375,-141.351747,439.216662,-1.48125,-27.7734375,-424.055241,1317.649986
1.670404,-0.125,0,-146.697473,-534.572638,-1.48125,0,-440.092419,-1603.717914
1.679778,-0.125,0,-158.767961,-1207.048749,-1.48125,0,-476.303883,-3621.146247
1.689991,-0.125,0,-164.152399,-538.443846,-1.48125,0,-492.457197,-1615.331538
1.699765,-0.125,0,-173.457529,-930.512984,-1.48125,0,-520.372587,-2791.538952
1.710058,-0.125,0,-177.709853,-425.23242,-1.48125,0,-533.129559,-1275.69726
1.719771,-0.179688,-5.46875,-182.018402,-430.854894,-2.1293028,-64.8046875,-546.055206,-1292.564682
1.730429,-0.179688,0,-190.032781,-801.437859,-2.1293028,0,-570.098343,-2404.313577
1.739793,-0.203125,-2.34375,-218.794443,-2876.166197,-2.40703125,-27.7734375,-656.383329,-8628.498591
1.749934,-0.203125,0,-240.972565,-2217.812265,-2.40703125,0,-722.917695,-6653.436795
1.759793,-0.226563,-2.34375,-268.997983,-2802.541724,-2.68477155,-27.7734375,-806.993949,-8407.625172
1.770643,-0.226563,0,-289.867675,-2086.969289,-2.68477155,0,-869.603025,-6260.907867
1.7798,-0.226563,0,-301.627279,-1175.960376,-2.68477155,0,-904.881837,-3527.881128
1.790045,-0.226563,0,-322.934832,-2130.755258,-2.68477155,0,-968.804496,-6392.265774
1.799808,-0.226563,0,-347.463516,-2452.868458,-2.68477155,0,-1042.390548,-7358.605374
1.809891,-0.226563,0,-352.845701,-538.218424,-2.68477155,0,-1058.537103,-1614.655272
1.819791,-0.226563,0,-366.703337,-1385.763643,-2.68477155,0,-1100.110011,-4157.290929
1.830247,-0.226563,0,-366.059009,64.432829,-2.68477155,0,-1098.177027,193.298487
1.839788,-0.226563,0,-368.9084,-284.939133,-2.68477155,0,-1106.7252,-854.817399
1.850011,-0.226563,0,-365.577246,333.115357,-2.68477155,0,-1096.731738,999.346071
1.85991,-0.226563,0,-372.141488,-656.424172,-2.68477155,0,-1116.424464,-1969.272516
1.869912,-0.226563,0,-370.521324,162.016469,-2.68477155,0,-1111.563972,486.049407
1.879806,-0.226563,0,-378.179068,-765.774429,-2.68477155,0,-1134.537204,-2297.323287
1.88988,-0.226563,0,-367.96497,1021.409805,-2.68477155,0,-1103.89491,3064.229415
1.899782,-0.226563,0,-366.186352,177.86175,-2.68477155,0,-1098.559056,533.58525
1.909988,-0.226563,0,-381.504654,-1531.830212,-2.68477155,0,-1144.513962,-4595.490636
1.919789,-0.226563,0,-372.981239,852.341531,-2.68477155,0,-1118.943717,2557.024593
1.930333,-0.226563,0,-380.966894,-798.565493,-2.68477155,0,-1142.900682,-2395.696479
1.939798,-0.226563,0,-373.231814,773.50797,-2.68477155,0,-1119.695442,2320.52391
1.950537,-0.226563,0,-372.821325,41.04889,-2.68477155,0,-1118.463975,123.14667
1.959815,-0.226563,0,-370.782351,203.897462,-2.68477155,0,-1112.347053,611.692386
1.96997,-0.226563,0,-376.527289,-574.493806,-2.68477155,0,-1129.581867,-1723.481418
1.979798,-0.242188,-1.5625,-367.620028,890.726088,-2.8699278,-18.515625,-1102.860084,2672.178264
1.989992,-0.242188,0,-377.536574,-991.654592,-2.8699278,0,-1132.609722,-2974.963776
1.999777,-0.242188,0,-382.219164,-468.259061,-2.8699278,0,-1146.657492,-1404.777183
2.010364,-0.242188,0,-392.426175,-1020.701036,-2.8699278,0,-1177.278525,-3062.103108
2.019781,-0.242188,0,-395.131974,-270.579925,-2.8699278,0,-1185.395922,-811.739775
2.029764,-0.242188,0,-392.187623,294.435152,-2.8699278,0,-1176.562869,883.305456
2.039781,-0.242188,0,-396.259312,-407.168954,-2.8699278,0,-1188.777936,-1221.506862
2.049969,-0.242188,0,-395.577444,68.186792,-2.8699278,0,-1186.732332,204.560376
2.059808,-0.242188,0,-397.069626,-149.218198,-2.8699278,0,-1191.208878,-447.654594
2.070323,-0.242188,0,-403.02267,-595.304387,-2.8699278,0,-1209.06801,-1785.913161
2.079784,-0.242188,0,-398.128795,489.387536,-2.8699278,0,-1194.386385,1468.162608
2.089811,-0.242188,0,-400.216117,-208.732204,-2.8699278,0,-1200.648351,-626.196612
